519663281.7,531581600,528267712,531092512,531231072,528542912,523943936,520747936,518005568,518278368,519677312,513662048,513113216,507208160,510331776,504961632,505006944,508455744,503202432,506080384,503063776,506918656,503024864,499110944,501371488,499626016,495851808,498133568,492329536,492882912,489268192,489645184,484716096,482730816,484401888,484363424,476722208,471080640,469001568,468532320,466744608,463299136,459454976,461167712,454521696,450715680,443136992,441503776,438147872,434207616,431965120,429646240,424556288,421737728,412828256,409177920,404780832,399719104,390081632,384349856,381893824,374696672,367593856,361662848,355213632,350099488,344778400,342777312,331228864,324213280,316685024,317767840,304421216
523252097.5,548901056,544085568,548179328,548234944,545894656,540887360,536926528,534810112,532592096,533773408,528785760,528640448,522480256,526604160,521663040,521715648,524513760,518557440,521115360,518991136,522048704,518258432,515405568,518426784,518381888,513902656,515852800,510247616,509766688,507854784,507980576,504841408,505372000,504820544,504640640,496704256,491503968,491159072,490589344,490680544,485848896,482421504,483369888,478470368,473235520,464256384,462815904,460438592,461887232,459550944,457648800,453342912,449371680,438287296,434685952,429611680,425482272,414393888,408463424,405513728,398331776,391087200,382494080,376942976,371921056,365030656,361839328,348943136,340926432,333022464,333296384,320372928
505985128,551782592,545353664,551516800,551002112,548914624,542933440,540420800,537547136,535248768,534950816,532139264,531730464,526963616,532018656,526561600,527505152,527978624,523145568,524928512,523757408,524754912,522984448,519725376,523580256,525402912,519859168,521724224,516894112,514992672,514202208,515515520,514007136,516814144,514046112,513297984,506225888,500620544,501880704,501588672,503721280,497521344,495605696,494982816,490896288,483895360,473664480,475107424,473969856,480765728,479461376,475617536,471669760,468045536,452929920,449877824,444721664,442054592,428657824,421643200,419647232,412081728,404598560,393236128,388110784,383838944,374460768,368999552,355285632,346348096,338420128,338895456,325589792
504796420.4,550382720,543139584,551821568,551154496,548298560,541828992,539807168,537141312,534745216,534296832,533015552,533481504,530423648,535707712,530644288,531632192,530397472,526629920,528202144,527343040,527775776,527991072,524601664,529726496,532584896,526283072,528334240,524106944,521524576,522873920,525380512,523996672,528836288,524458208,524804768,518856704,513606592,516618880,515564352,519948736,513297376,511841120,508831296,505992640,498239744,489329760,493708768,492777920,503411008,502879136,498068416,493886240,489632544,472788032,468976640,463966336,461061184,446048512,438381728,436268384,429428160,421705280,408316096,403914176,399396960,387123552,380039200,366018144,355666912,348286400,349605120,336046464
494175660,531459712,525058304,534321312,532769696,530551328,523489568,521567904,519165088,517802336,516898400,517566208,519704448,518489696,523244384,518833408,519017376,517472640,514597888,515219584,516199072,516693696,517863168,516922464,521201760,523981472,517832320,520393184,517301984,516168512,519913568,523005056,522594112,527939616,524383776,525525184,521706048,518637984,522672736,522027776,527921344,521082272,519293792,515170816,513723520,506414400,501816320,508362816,509868960,521093856,520098976,515789856,510492512,505457824,487457696,484506496,478125856,474894624,460001216,451915488,450139200,443694400,435738944,421482656,416280896,410263776,396019744,387304064,373880096,363195648,357186208,357351168,344143520
476375313,496695904,492119168,499493728,498806944,496643968,489548000,488428256,485470208,486025760,485429632,487945376,492400832,491717760,495299008,492555232,491494688,490944064,488730816,489096544,491826112,493266112,494817728,496288864,499772320,500709152,496391392,498809728,498023040,499604032,504500736,508404256,509346528,513902560,513503936,514662016,513273376,513365280,517763616,519146432,524204096,516773472,515415968,511941632,513271488,506524224,507549632,515940416,519530048,528266112,526398368,523123072,517161952,511143680,493512288,490843616,483014784,478769216,465622432,457981344,456314336,449928000,442495680,426968672,421028672,413049984,397639072,388083616,376766528,366385664,361046848,359616352,347596064
483250660.9,468875424,465117248,472073120,471418912,469394496,463216480,462920032,458680736,461650368,462961760,466403968,472014144,471126016,472975392,472400480,470208128,470942720,469732992,470933248,474156032,476762240,477522720,480872288,484980256,483829216,481400928,484356224,484723616,489541248,493743456,498871104,500631680,504856960,507720288,509941728,510382656,512547072,517476704,519943680,522521120,515126336,513974048,513291072,517864096,512638752,518933920,527386624,531670176,536341856,533003200,531687744,524804352,518308960,501195008,498162496,489636000,483826592,472867264,465377984,463097664,457681120,449404288,432614848,425812480,416425280,400631520,391609152,382076128,370620928,366428672,363053728,351852640
481259668,445653632,443113792,448825792,447637216,446639104,442402944,442737472,437251232,443837824,446539200,449228768,454635680,453929984,454426560,453485248,451869664,453310912,453863712,455656480,459371104,460735040,461554464,465314496,470926080,466777952,467791456,471106528,471731840,478708352,481382272,488213120,490907104,495489216,500682208,503654048,505409728,508899360,513111264,515702976,516083232,508958112,510405920,512369024,519750176,516470400,525322976,533798080,538240512,539155008,534179456,533547264,526595872,519151392,501877696,498683968,491371968,484281024,475401792,466963968,465327200,459232480,449369056,431451232,423128096,413091648,398424384,389966080,380240160,368623360,365448608,358972512,347971744
484754953.4,435398912,432638208,437809280,436673440,437066656,433657728,435674656,429402816,439087680,441874400,443406240,447596992,447436320,446218880,444424672,444320928,446034368,448158112,451258176,453542464,453956352,454942752,458442592,465133248,459665024,463630976,466968640,466665664,475366400,476757536,484879104,487630592,492950784,499381152,503312576,505974688,509335904,511402880,513829600,512150368,507442368,511713472,515891648,525889920,524083616,534062144,541338624,544569472,542339648,535707104,535109472,527543648,519623904,502148160,498524320,493474912,485108704,477605952,468537536,466041216,458598752,447454560,428285792,419085504,409528448,396420736,387658336,377947456,365722048,362447168,353606496,342956544
481325799.1,430689728,427831040,433454048,432307712,433527520,431519456,435629856,428825728,440129856,441986976,442806688,445425376,445605472,442998784,440593088,441892864,443670048,447509632,450728512,451958944,451136576,452553472,455231520,463293312,456828352,462802784,466132224,464971456,474825184,475369152,484138688,486466496,491848192,499080416,504487936,506862080,507910816,508339680,510546208,508869824,507026144,513955584,520208064,530850112,530198656,540326464,544806208,547290112,542097600,534242976,531706272,524214880,516215808,498231552,494928064,492227904,483114208,476772320,465739296,462478912,453388128,441028448,421082624,412084352,403470272,391621152,382409056,372382368,359252448,356069056,345230176,335203808
